,,,,,,,,,fraction of total / yr,,,,fraction of total,,$,,,$/kWh,,,
BES_id,model,manufacturer,chemistry,application,capacity_kWh,peak_power_kW,power_continuous_kW,depth_of_discharge_kWh,degradation_rate,roundtrip_efficiency,lifetime_yr,cycling_times,end_of_life_capacity,volt_nominal_V,battery_cost,install_cost,total_cost,specific_cost,warranty,Notes,source
Li_1,Powerwall1,Tesla,Li-Ion,residential,6.4,3.3,3.3,6.4,0.03,0.93,10,5000,,50,6500,1100,7600,469,10,,
Li2,PowerWall2,Tesla,Li-Ion,residential,14,7,5,13.5,0.03,0.9,10,3200,0.7,50,6500,1100,7600,542.86,10,,https://www.energysage.com/solar-batteries/tesla/6/powerwall-2/
Li3,Powerpack1,Tesla,Li-Ion,commercial,100,50,50,100,0.03,0.89,10,,,,,,,470,10,,https://www.tesla.com/powerpack
Li4,Powerpack2,Tesla,Li-Ion,commercial,200,50,50,200,0.03,0.89,10,,,,,,,398,10,,https://electrek.co/2016/11/14/tesla-powerpack-2-price/
LFP2,Sonnen_eco_4,Sonnen,Li-Fe-PO4,residential,4,6,4.5,4,0.07,0.86,10,10000,,,5950,500,6450,1612.5,10,Interpolated,https://www.energysage.com/solar-batteries/sonnen/17/eco-4/
LFP3,Sonnen_eco_6,Sonnen,Li-Fe-PO4,residential,6,6,4.5,6,0.07,0.86,10,10000,,,,,10041.67,1673.61,10,Interpolated,https://news.energysage.com/sonnen-eco-battery-review/
LFP4,Sonnen_eco_8,Sonnen,Li-Fe-PO4,residential,8,6,4.5,8,0.07,0.86,10,10000,,,,,13633.33,1704.17,10,Interpolated,
LFP5,Sonnen_eco_10,Sonnen,Li-Fe-PO4,residential,10,12,9,10,0.07,0.86,10,10000,,,,,17225,1722.5,10,Interpolated,
LFP6,Sonnen_eco_12,Sonnen,Li-Fe-PO4,residential,12,12,9,12,0.07,0.86,10,10000,,,,,20816.67,1734.72,10,Interpolated,
LFP7,Sonnen_eco_14,Sonnen,Li-Fe-PO4,residential,14,12,9,14,0.07,0.86,10,10000,,,,,24408.33,1743.45,10,Interpolated,
LFP8,Sonnen_eco_16,Sonnen,Li-Fe-PO4,residential,16,12,9,16,0.07,0.86,10,10000,,,,,28000,1750,10,Interpolated,
LFP9,Sonnen-ecoLinx_10,Sonnen,Li-Fe-PO4,residential,10,12,9,9.5,0.07,0.86,15,15000,,,,,16450,1645,15,,https://www.greentechmedia.com/articles/read/sonnens-new-strategy-raise-price-sell-to-high-end-home-automation-market
LFP10,Sonnen-ecoLinx_12,Sonnen,Li-Fe-PO4,residential,12,12,9,11.4,0.07,0.86,15,15000,,,,,19740,1645,15,,
LFP11,Sonnen-ecoLinx_14,Sonnen,Li-Fe-PO4,residential,14,12,9,13.3,0.07,0.86,15,15000,,,,,23030,1645,15,,
LFP12,Sonnen-ecoLinx_16,Sonnen,Li-Fe-PO4,residential,16,12,9,15.2,0.07,0.86,15,15000,,,,,26320,1645,15,,
LFP13,Sonnen-ecoLinx_18,Sonnen,Li-Fe-PO4,residential,18,12,9,17.1,0.07,0.86,15,15000,,,,,29610,1645,15,,
LFP14,Sonnen-ecoLinx_20,Sonnen,Li-Fe-PO4,residential,20,12,9,19,0.07,0.86,15,15000,,,,,32900,1645,15,,
Li5,RESU6.5,LG,Li-Ion,residential,6.5,7,4.6,5.9,0.04,0.95,10,6000,,51.8,6500,,6500,1000,10,,
Li6,RESU10H,LG,Li-Ion,residential,9.8,7,5,9.3,0.07,0.95,10,6000,0.6,400,6999,,9500,969.39,10,,https://news.energysage.com/lg-chem-resu-battery-review/
Li7,EVAC-105-Mini,Panasonic,Li-Ion,residential,6.8,9.6,2.4,5.7,0.07,0.84,10,,,,,,7998.84,1176.3,10,,
Li8,EVAC-105-Standard,Panasonic,Li-Ion,residential,13.5,9.6,4.8,11.4,0.07,0.84,10,,,,15880,,15880,1176.3,10,,https://sunwatts.com/11-4-kwh-panasonic-evervolt-ac-coupled-battery-system-evac-105-4/
Li9,EVAC-105-Plus,Panasonic,Li-Ion,residential,20.3,9.6,7.2,17.1,0.07,0.84,10,,,,,,23878.89,1176.3,10,,
Li10,EVDC-105-Mini,Panasonic,Li-Ion,residential,6.8,9.6,2.4,5.7,0.07,0.89,10,,,,,,7998.84,1176.3,10,,
Li11,EVADC-105-Standard,Panasonic,Li-Ion,residential,13.5,9.6,4.8,11.4,0.07,0.89,10,,,,15880,,15880,1176.3,10,,
Li12,EVDC-105-Plus,Panasonic,Li-Ion,residential,20.3,9.6,7.2,17.1,0.07,0.89,10,,,,19055,,19055,938.67,10,,
LFP15,PHI_2.4,SimpliPhi,Li-Fe-PO4,residential,2.4,6,4.8,2.4,0.07,0.98,10,10000,0.8,,3360,,3360,1400,10,,
LFP16,PHI_2.7,SimpliPhi,Li-Fe-PO4,residential,2.7,1.4,1.08,2.7,0.07,0.98,5,5000,0.8,,2200,,2200,814.81,5,,
PbA1,EnergyCell_106NC,OutBack,PbA,residential,2.6,0.4,0.36,1.3,0.07,0.95,2,2600,,,286.6,,286.6,110.23,2,,https://www.solaris-shop.com/outback-energycell-106nc-agm-12v-100ah-battery/
PbA2,EnergyCell_106NC,OutBack,PbA,residential,4.8,0.6,0.64,2.4,0.07,0.95,2,2600,,,546.59,,546.59,113.87,2,,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwihqJ7jn8voAhUMbIYKHbqRAvAYABAEGgJ2dQ&ohost=www.google.com&cid=CAESQOD24LC9bIc4zUS_RMw69J0JPf6rlNzdiOSfVAIPUovwx8e6IXrKhRtcYsqTfRZWsjUK3J4bXmpnNEGwX63InnY&sig=AOD64_0QugFl_xbTJFHJxC12-Wx5Tk1q1Q&ctype=5&q=&ved=2ahUKEwiYhZXjn8voAhWJiOAKHZ-XB9MQ9aACegQICxA1&adurl=
Li13,PowerPod_10.1,Electriq_Power,Li-Ion,residential,10.1,7,3,8.5,0.07,0.92,12,4000,,,8999,,8999,890.99,12,,https://www.energysage.com/solar/solar-energy-storage/electriq-powerpod-complete-review/
Li14,PowerPod_13.5,Electriq_Power,Li-Ion,residential,13.5,7,4,11.4,0.07,0.92,12,4000,,,,,,,12,,
Li15,PowerPod_20.2,Electriq_Power,Li-Ion,residential,20.2,7,5.5,17.1,0.07,0.92,12,4000,,,,,,,12,,
Li16,PowerPod_27,Electriq_Power,Li-Ion,residential,27,7,5.5,22.9,0.07,0.92,12,4000,,,,,,,12,,
Li17,PowerPod_33.5,Electriq_Power,Li-Ion,residential,33.5,7,5.5,28.4,0.07,0.92,12,4000,,,,,,,12,,
PbA3,EnergyCell_PLR,OutBack,PbA,residential,,,,,0.17,,3,1500,0.5,,,,,,3,,
PbA4,EnergyCell_2PCL,OutBack,PbA,residential,,,,,0.07,,,,,,,,,,,,
LFP15,Blue_Ion_2.0_8kWh,Blue_Planet,Li-Fe-PO4,residential,8,17,8,8,0,0.98,21,8000,1,,12950,,12950,1618.75,15,,https://www.energysage.com/solar-batteries/blue-planet-energy/34/BI2-08/
LFP16,Blue_Ion_2.0_12kWh,Blue_Planet,Li-Fe-PO4,residential,12,17,8,12,0,0.98,21,8000,1,,,,,,15,,
LFP17,Blue_Ion_2.0_16kWh,Blue_Planet,Li-Fe-PO4,residential,16,17,8,16,0,0.98,21,8000,1,,,,,,15,,
Li18,Harbor_3,Pika_Energy,Li-Ion,residential,10.1,5,3.4,8.6,0.07,0.965,10,,,,,,12000,1188.12,10,Interpolated,https://news.energysage.com/pika-energy-harbor-smart-battery-system-the-complete-review/; https://www.pacificsuntech.com/post/pika-energy-vs-tesla-powerwall-2
Li19,Harbor_4,Pika_Energy,Li-Ion,residential,13.5,6.7,4.5,11.4,0.07,0.965,10,,,,,,14000,1037.04,10,Interpolated,
Li20,Harbor_5,Pika_Energy,Li-Ion,residential,16.9,8.4,5.6,14.3,0.07,0.965,10,,,,,,16000,946.75,10,Interpolated,
Li21,Harbor_6,Pika_Energy,Li-Ion,residential,20.3,10,6.7,17.1,0.07,0.965,10,,,,,,18000,886.7,10,Interpolated,
Li22,PWRcell_9,Generac,Li-Ion,residential,9,5,3.4,8.6,0.07,0.965,10,2628,,,6126,3873,9999,1111,10,"3 Module @ 2042 ea., Inverter 3487; 1 inverter per 2 batteries (6 modules max per battery)",https://www.ecodirect.com/Generac-PWRcell-s/1110.htm
Li23,PWRcell_12,Generac,Li-Ion,residential,12,6.7,4.5,11.4,0.07,0.965,10,2649,,,8168,3873,12041,1003.42,10,4 Module,
Li24,PWRcell_15,Generac,Li-Ion,residential,15,8.4,5.6,14.3,0.07,0.965,10,2643,,,10210,3873,14083,938.87,10,5 Module,
Li25,PWRcell_17,Generac,Li-Ion,residential,17,10,6.7,17,0.07,0.965,10,2649,,,12252,3873,16125,948.53,10,6 Module,
LFP20,Encharge_3,Enphase_Energy,Li-Fe-PO4,residential,3.4,1.9,1.28,3.4,0.03,0.89,10,4000,0.7,,,,6000,1785.71,10,,https://news.energysage.com/enphase-encharge-the-complete-review/
LFP21,Encharge_10,Enphase_Energy,Li-Fe-PO4,residential,10.5,5.7,3.84,10.1,0.03,0.89,10,4000,0.7,,,,18000,1714.29,10,,
Li26,REACT2_BATT,ABB,Li-Ion,residential,4,2,1.6,3.8,0.07,,5,1825,,,,,4451,1112.75,5,,https://zerohomebills.com/product/abb-react2-uno-3-6-tl-4kw-modular-li-ion-battery-storage/
Li27,Brightbox,Sunrun,Li-Ion,residential,9.8,7,5,9.8,,,10,,,,15000,,15000,1530.61,10,,
